Entry Location,Entry,Enabled,Category,Description,Publisher,Image Path,Launch String,MD5,SHA-1,SHA-256
"HKLM\System\CurrentControlSet\Services","TapiSrv",enabled,"Services","Provides Telephony API (TAPI) support for programs that control telephony devices and IP based voice connections on the local computer and, through the LAN, on servers that are also running the service.","Microsoft Corporation","c:\windows\system32\tapisrv.dll","%SystemRoot%\System32\tapisrv.dll",eb4a4187d74a8efdcbea3ea2cb1bdfbd,b2ad9a616cd4ad3f4bc2b0a636803f7c4b313d91,
"HKLM\System\CurrentControlSet\Services","TermService",enabled,"Services","Allows multiple users to be connected interactively to a machine as well as the display of desktops and applications to remote computers. The underpinning of Remote Desktop (including RD for Administrators), Fast User Switching, Remote Assistance, and Terminal Server.","Microsoft Corporation","c:\windows\system32\termsrv.dll","%SystemRoot%\System32\termsrv.dll",b60c877d16d9c880b952fda04adf16e6,b93a2c8bda208a76b033c67fa90128f5888890e5,
"HKLM\System\CurrentControlSet\Services","Themes",enabled,"Services","Provides user experience theme management.","Microsoft Corporation","c:\windows\system32\shsvcs.dll","%SystemRoot%\System32\shsvcs.dll",e7518dc542d3ebdcb80edd98462c7821,6dec6796289066fc1ba827dabef1cc3286660f3a,
"HKLM\System\CurrentControlSet\Services","TPAutoConnSvc",enabled,"Services","ThinPrint .print component for printing with ThinPrint Ports and automatic creation of printer objects. If this service is stopped, printing with ThinPrint .print technology will not be possible.","Cortado AG","c:\program files\vmware\vmware tools\tpautoconnsvc.exe","""C:\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe""",e63c0b46610dfffddbefad2a571e21ed,8812e6532fe6c97be2ffd6b518c6a53927386010,
"HKLM\System\CurrentControlSet\Services","TPVCGateway",enabled,"Services","ThinPrint component that receives print data from dedicated print servers and forwards it to ThinPrint ICA/RDP Clients.","Cortado AG","c:\program files\vmware\vmware tools\tpvcgateway.exe","""C:\Program Files\VMware\VMware Tools\TPVCGateway.exe""",13caa8bb12aa8280c607f6d1eb847388,b8e1369c2a1658018ef6896d1e4a54516ad0f977,
"HKLM\System\CurrentControlSet\Services","TrkWks",enabled,"Services","Maintains links between NTFS files within a computer or across computers in a network domain.","Microsoft Corporation","c:\windows\system32\trkwks.dll","%SystemRoot%\system32\trkwks.dll",6d9ac544b30f96c57f8206566c1fb6a1,06252c04f3979d22fd0433ce41f18023156d991d,
"HKLM\System\CurrentControlSet\Services","upnphost",enabled,"Services","Provides support to host Universal Plug and Play devices.","Microsoft Corporation","c:\windows\system32\upnphost.dll","%SystemRoot%\System32\upnphost.dll",0546477bde979e33294fe97f6b3de84a,7481335149565672ea58bca5ca358c9f29d3e906,
"HKLM\System\CurrentControlSet\Services","UPS",enabled,"Services","Manages an uninterruptible power supply (UPS) connected to the computer.","Microsoft Corporation","c:\windows\system32\ups.exe","%SystemRoot%\System32\ups.exe",3f5df65b0758675f95a2d43918a740a3,74a6772421afff2fd9ef3f84c77bba244eebef55,
"HKLM\System\CurrentControlSet\Services","VMTools",enabled,"Services","Provides support for synchronizing objects between the host and guest operating systems.","VMware, Inc.","c:\program files\vmware\vmware tools\vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""",005ba7c07b7180311a01ef0bf359278a,88607587d281ad398112c78e8447bfc0a16e8d7a,
"HKLM\System\CurrentControlSet\Services","VMware Physical Disk Helper Service",enabled,"Services","Enables support for running virtual machines from a physical disk partition","VMware, Inc.","c:\program files\vmware\vmware tools\vmacthlp.exe","""C:\Program Files\VMware\VMware Tools\vmacthlp.exe""",5c3e1cd670f3bb259ab6ab7891cd2afa,dbda787ffb5be97d61c3eda605cda4abd8812d04,
"HKLM\System\CurrentControlSet\Services","VSS",enabled,"Services","Manages and implements Volume Shadow Copies used for backup and other purposes. If this service is stopped, shadow copies will be unavailable for backup and the backup may fail. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\vssvc.exe","%SystemRoot%\System32\vssvc.exe",3ee00364ae0fd8d604f46cbaf512838a,f7c284be25627c86b628eaaf85c9128009b69ecf,
